Invoice No,Invoice Date,Company Name,Account Number,Line Number,Item ID,DHL Product Description,PAL/COL,Amount,Weight Charge,Discount Amount,Discount Code,Tax Amount,Tax Code,AWB Number,Weight,Shipper Reference,Shipment Date,Origin Code,Destination Code,Shipper Details,Receiver Details
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,1,,EXPRESS WORLDWIDE nondoc,1,86.35,,,,0,B,6159793625,4.5,22012973,1/04/2025,NUERNBERG,SYD. SYDNEY,ANDREW WIRELESS SYSTEMS GMBH;INDUSTRIERING 10;BAVARIA BY BY BAVARIA;BUCHDORF;BUCHDORF;Bavaria;86675;DE;Thomas Totzauer;de05-admin@andrew.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD CEVA LOGISTICS DOOR 9;BUILDING 1 60 WALLGROVE ROAD;MINCHINBURY;MINCHINBURY;N S W;2770;AU;Neil Newton;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,2,,CHANGE OF BILLING,1,20,,,,0,B,6159793625,0,22012973,1/04/2025,NUERNBERG,SYD. SYDNEY,ANDREW WIRELESS SYSTEMS GMBH;INDUSTRIERING 10;BAVARIA BY BY BAVARIA;BUCHDORF;BUCHDORF;Bavaria;86675;DE;Thomas Totzauer;de05-admin@andrew.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD CEVA LOGISTICS DOOR 9;BUILDING 1 60 WALLGROVE ROAD;MINCHINBURY;MINCHINBURY;N S W;2770;AU;Neil Newton;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,3,,FUEL SURCHARGE,1,34.28,,,,0,B,6159793625,0,22012973,1/04/2025,NUERNBERG,SYD. SYDNEY,ANDREW WIRELESS SYSTEMS GMBH;INDUSTRIERING 10;BAVARIA BY BY BAVARIA;BUCHDORF;BUCHDORF;Bavaria;86675;DE;Thomas Totzauer;de05-admin@andrew.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD CEVA LOGISTICS DOOR 9;BUILDING 1 60 WALLGROVE ROAD;MINCHINBURY;MINCHINBURY;N S W;2770;AU;Neil Newton;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,4,,REMOTE AREA PICKUP,1,35,,,,0,B,6159793625,0,22012973,1/04/2025,NUERNBERG,SYD. SYDNEY,ANDREW WIRELESS SYSTEMS GMBH;INDUSTRIERING 10;BAVARIA BY BY BAVARIA;BUCHDORF;BUCHDORF;Bavaria;86675;DE;Thomas Totzauer;de05-admin@andrew.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD CEVA LOGISTICS DOOR 9;BUILDING 1 60 WALLGROVE ROAD;MINCHINBURY;MINCHINBURY;N S W;2770;AU;Neil Newton;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,5,,EXPRESS WORLDWIDE nondoc,1,104.49,,,,0,B,5092937172,7,22019930,9/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,6,,CHANGE OF BILLING,1,20,,,,0,B,5092937172,0,22019930,9/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00804347,6/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,7,,FUEL SURCHARGE,1,29.52,,,,0,B,5092937172,0,22019930,9/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00806978,13/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,1,,EXPRESS WORLDWIDE nondoc,1,118.97,,,,0,B,4671183576,9,22025156,16/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00806978,13/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,2,,FUEL SURCHARGE,1,33.61,,,,0,B,4671183576,0,22025156,16/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00806978,13/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,3,,CHANGE OF BILLING,1,20,,,,0,B,4671183576,0,22025156,16/04/2025,EINDHOVEN,SYD. SYDNEY,COMMSCOPE TECHNOLOGIES UK;Arsenaal 2;VEENENDAAL;VEENENDAAL;3905 NN;NL;Djamay De Wit;djamay.dewit@commscope.com;,OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY;LTD. CEVA LOGISTICS DOOR 6;BLDG 1/ 60 WALLGROVE RD;BLDG 1/ 60 WALLGROVE RD;MINCHINBURY;New South Wales;2770;AU;OUTDOOR WIRELESS NETWORKS AUSTRALIA;
MELIR00806978,13/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,4,,EXPRESS WORLDWIDE nondoc,2,450,,,,0,B,7025471305,14.5,SO#5776032,28/04/2025,SUZHOU & SURROUNDING,WLG. WELLINGTON,COMMSCOPE TELECOMMUNICATION (CHINA)CO.LTD;68# SU HONG XI ROAD;SUZHOU INDUSTRIAL PARK;SUZHOU JIANGSU 215021;SUZHOU;215021;CN;FAN JUNYAO;,KORDIA LTD;28-30 CASHEW STREET;WELLINGTON 5028;WELLINGTON;WELLINGTON;5028;NZ;NICOLA.SCOTT;NICOLA.SCOTT@KORDIA.CO.NZ;
MELIR00806978,13/05/2025,OUTDOOR NETWORKS AUSTRALIA PTY LTD,518344261,5,,CHANGE OF BILLING,2,20,,,,0,B,7025471305,0,SO#5776032,28/04/2025,SUZHOU & SURROUNDING,WLG. WELLINGTON,COMMSCOPE TELECOMMUNICATION (CHINA)CO.LTD;68# SU HONG XI ROAD;SUZHOU INDUSTRIAL PARK;SUZHOU JIANGSU 215021;SUZHOU;215021;CN;FAN JUNYAO;,KORDIA LTD;28-30 CASHEW STREET;WELLINGTON 5028;WELLINGTON;WELLINGTON;5028;NZ;NICOLA.SCOTT;NICOLA.SCOTT@KORDIA.CO.NZ;
